track_number,track_name,track_popularity,track_duration_min
1,Come Together,77,4.33
2,Something,75,3.03
3,Maxwell's Silver Hammer,58,3.46
4,Oh! Darling,68,3.45
5,Octopus's Garden,65,2.84
6,I Want You (She's So Heavy),62,7.78
7,Here Comes The Sun,82,3.09
8,Because,57,2.76
9,You Never Give Me Your Money,58,4.04
10,Sun King,56,2.43
11,Mean Mr Mustard,54,1.1
12,Polythene Pam,54,1.21
13,She Came In Through The Bathroom Window,57,1.97
14,Golden Slumbers,66,1.52
15,Carry That Weight,58,1.6
16,The End,58,2.36
17,Her Majesty,27,0.43
